Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010
330020905000067;1;8;0;0;10;0;13;1;0;4;0
330020905000068;1;3;2;0;3;0;5;0;0;1;0
330020905000069;1;5;0;0;2;0;2;1;0;3;0
330020905000070;1;11;2;0;17;0;8;1;0;13;0
330020905000071;1;10;0;1;11;0;7;0;0;4;0
330020905000072;1;13;0;0;1;0;6;0;0;3;0
330020905000073;1;3;0;0;3;0;6;0;0;3;0
330020905000074;1;11;1;0;4;0;15;0;0;3;0
330020905000075;1;3;0;0;1;0;6;0;0;2;0
330020905000076;1;9;2;0;5;0;18;2;0;1;0
330020905000077;1;6;1;0;4;0;6;0;0;2;0
330020905000078;1;3;0;0;0;0;5;0;0;1;0
330020905000079;1;3;1;0;2;0;0;0;0;5;0
330020905000080;1;12;0;0;4;0;11;0;0;10;0
330020905000081;1;23;2;0;11;0;11;1;0;12;0
330020905000082;1;6;1;0;2;0;9;0;0;3;0
330020905000083;1;7;2;0;12;0;11;5;0;14;0
330020905000084;1;11;3;0;8;0;6;2;0;5;0
330020905000085;1;21;4;0;14;0;17;0;0;13;0
330020905000086;1;7;0;0;11;0;6;1;0;7;0
330020905000087;1;3;5;0;8;0;2;0;0;8;0
330020905000088;1;2;0;0;4;0;5;1;0;10;0
330020905000089;1;1;0;0;0;0;0;0;0;0;0
330020905000090;1;0;0;0;1;0;1;0;0;2;0
330020905000091;1;2;0;0;4;0;1;1;0;5;0
330020905000092;1;13;2;0;13;0;4;1;0;15;0
330020905000093;1;6;1;0;9;0;6;3;0;10;0
330020905000094;1;6;0;0;6;0;7;0;0;9;0
330020905000095;1;4;0;0;2;0;3;1;0;4;0
330020905000096;1;1;1;0;6;0;6;2;0;4;0
330020905000097;1;1;0;0;2;0;4;1;0;3;0
330020905000098;1;6;0;0;4;0;6;0;0;4;0
330020905000099;1;7;1;0;6;0;4;1;0;4;0
330020905000100;1;4;1;1;4;0;2;0;0;4;0
330020905000101;1;3;0;0;2;0;4;0;0;2;0
330020905000102;1;5;4;0;6;0;2;1;0;5;0
330020905000103;1;6;0;0;1;0;4;0;0;2;0
330020905000104;1;4;0;0;0;0;4;0;0;0;0
330020905000105;1;2;0;0;2;0;1;1;0;4;0
330020905000106;1;5;0;0;4;0;10;0;0;2;0
330020905000107;1;12;3;0;4;0;9;0;0;4;0
330020905000108;1;2;0;0;1;0;4;0;0;3;0
330020905000109;1;2;0;0;1;0;10;0;0;2;0
330020905000110;1;1;0;0;0;0;2;0;0;0;0
330020905000111;1;1;0;0;0;0;0;0;0;0;0
330020905000112;1;3;1;0;0;0;2;0;0;0;0
330020905000113;1;0;0;0;0;0;0;0;0;6;0
330020905000114;1;6;0;0;7;0;3;0;0;8;0
330020905000115;1;4;6;0;1;0;5;4;0;2;0
330020905000116;1;1;0;0;2;0;2;0;0;3;0
330020905000117;1;13;4;1;8;0;9;3;3;16;0
330020905000118;1;43;13;0;28;0;24;12;0;24;0
330020905000119;1;18;3;0;16;0;15;5;0;20;0
330020905000120;1;3;1;0;5;0;2;0;0;3;0
330020905000121;1;1;0;0;1;0;1;0;0;2;0
330020905000122;1;1;1;0;3;0;1;2;0;0;0
330020905000124;4;3;0;0;7;0;4;0;0;6;0
330020905000125;8;2;0;0;1;0;1;0;0;0;0
330020905000126;1;10;3;0;3;0;11;1;0;3;0
330020905000127;1;3;0;1;4;0;9;0;0;3;0
330020905000128;1;7;6;0;11;0;3;0;0;12;0
