Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
330455705160025;1;0;870821;870821;0;0;0;6;29;81;58;61;24;5;5;
330455705160026;1;0;797359;797359;0;0;0;0;9;44;51;47;25;5;6;
330455705160027;1;0;617370;617370;0;0;0;2;14;45;32;38;19;4;7;
330455705160028;1;1;698760;698260;500;0;4;28;104;120;23;20;3;0;6;
330455705160029;1;0;624310;624310;0;1;1;8;44;102;35;22;9;1;1;
330455705160030;1;0;544501;544501;0;0;6;13;38;61;26;14;18;2;8;
330455705160031;1;0;433828;433828;0;0;1;5;37;70;23;15;11;0;2;
330455705160032;1;0;550458;550458;0;0;2;11;48;78;38;24;8;2;2;
330455705160033;1;0;325023;325023;0;0;7;30;81;61;6;1;0;0;34;
330455705160034;1;0;428462;428462;0;0;3;14;43;80;28;9;4;0;43;
330455705160035;1;1;294954;294954;0;0;0;4;18;53;14;18;5;1;1;
330455705160036;1;0;308567;308567;0;0;0;8;31;41;21;15;7;1;1;
330455705160037;1;0;234222;234222;0;0;0;4;15;39;20;15;0;0;0;
330455705160038;1;1;319987;317487;2500;0;0;6;36;60;10;8;2;1;0;
330455705160039;1;0;527247;527247;0;0;5;16;39;54;40;22;14;1;1;
330455705160040;1;0;625272;625272;0;0;2;6;35;74;28;40;9;1;8;
330455705160041;1;0;274597;274597;0;0;3;4;27;41;17;13;1;0;4;
330455705160042;1;0;372592;372592;0;0;4;5;33;35;22;15;5;2;1;
330455705160043;1;0;306287;306287;0;0;4;19;48;60;21;5;1;0;47;
330455705160044;1;0;237400;237400;0;0;2;11;29;41;13;12;3;0;7;
330455705160045;1;0;368555;368555;0;0;2;16;58;48;18;12;9;0;4;
330455705160046;1;0;410108;410108;0;0;0;1;65;117;27;5;1;0;2;
330455705160047;1;0;431746;431746;0;0;1;8;40;56;31;30;10;1;2;
330455705160048;1;0;307713;307713;0;0;2;8;30;44;13;11;10;0;4;
330455705160049;1;0;589850;589850;0;0;1;8;35;70;31;47;16;2;2;
330455705160050;1;0;660165;660165;0;0;2;8;41;67;43;28;15;3;2;
330455705160051;1;0;538271;538271;0;0;2;2;28;63;33;28;15;2;7;
330455705160052;1;0;687502;687502;0;0;0;10;24;76;34;23;24;5;1;
330455705160053;1;0;622008;622008;0;0;0;3;29;57;40;29;12;3;1;
330455705160054;1;0;529208;529208;0;0;0;17;32;55;22;33;12;1;1;
330455705160055;1;0;241479;241479;0;0;2;20;42;45;13;2;5;0;5;
330455705160056;1;0;413370;413370;0;2;7;30;90;78;23;7;2;1;2;
330455705160057;1;0;307314;307314;0;0;6;17;36;63;21;7;3;0;4;
330455705160058;1;0;461118;461118;0;1;11;45;92;105;20;8;5;1;3;
330455705160059;1;0;355357;355357;0;0;0;6;30;56;20;23;6;0;1;
330455705160060;1;2;995355;991815;3540;0;0;0;17;138;109;32;7;0;1;
330455705160061;1;0;297356;297356;0;0;3;27;56;67;12;8;2;0;67;
330455705160062;1;1;733335;731335;2000;0;0;3;33;79;36;40;16;5;1;
330455705160063;1;0;557986;557986;0;0;1;11;40;63;30;24;11;2;9;
330455705160064;1;0;415249;415249;0;0;2;7;17;45;24;21;11;2;3;
330455705160065;1;0;980178;980178;0;1;2;6;21;58;45;52;38;12;11;
330455705160066;1;0;290670;290670;0;6;23;96;97;43;3;3;0;0;44;
330455705160067;1;0;165139;165139;0;4;27;52;67;23;4;0;0;0;8;
330455705160068;1;0;303748;303748;0;5;28;77;121;50;4;2;1;0;16;
330455705160069;1;1;208542;207292;1250;1;10;35;69;17;1;1;0;0;3;
330455705160070;1;0;88213;88213;0;2;2;18;30;15;3;0;0;0;14;
330455705160071;1;0;289136;289136;0;0;4;38;92;76;8;5;0;0;2;
330455705160072;1;0;342498;342498;0;4;10;27;94;69;15;5;0;0;12;
330455705160073;1;1;363941;363341;600;1;3;37;99;71;9;8;2;0;19;
330455705160074;1;0;312930;312930;0;5;7;45;99;46;3;6;1;1;46;
330455705160075;1;0;357507;357507;0;1;3;26;86;71;15;6;0;2;2;
330455705160076;1;0;164004;164004;0;1;7;36;65;22;6;0;0;0;11;
330455705160077;1;0;116707;116707;0;1;10;30;56;15;0;0;0;0;9;
330455705160078;1;0;410644;410644;0;5;15;62;101;70;8;1;1;2;12;
330455705160079;1;0;309871;309871;0;2;14;68;130;56;7;0;0;0;15;
330455705160080;1;0;393479;393479;0;4;16;68;128;62;1;2;0;0;6;
330455705160081;1;0;342340;342340;0;0;0;10;32;56;21;13;4;0;0;
330455705160082;1;0;431493;431493;0;0;2;11;46;61;19;20;9;1;2;
330455705160083;1;0;662507;662507;0;0;3;8;36;92;37;40;14;2;1;
330455705160084;1;0;774261;774261;0;0;0;15;34;85;41;37;24;1;6;
330455705160085;1;0;471302;471302;0;0;1;15;48;56;23;20;8;2;7;
330455705160086;1;0;187059;187059;0;5;18;53;59;36;2;3;0;0;28;
330455705160087;1;0;293015;293015;0;0;40;122;84;10;1;0;0;0;22;
330455705160088;1;0;381430;381430;0;0;2;113;145;44;0;0;0;0;0;
330455705160089;1;0;111040;111040;0;2;14;19;39;19;2;0;0;0;30;
330455705160090;1;0;128841;128841;0;0;8;28;44;18;0;1;0;0;18;
330455705160091;1;0;111588;111588;0;0;4;16;41;24;1;1;0;0;4;
330455705160092;1;0;171392;171392;0;0;3;16;44;37;6;2;0;0;7;
330455705160093;1;0;166920;166920;0;4;7;42;78;30;1;2;0;0;20;
330455705160094;1;0;578096;578096;0;3;24;70;86;58;10;24;2;2;45;
330455705160095;1;0;232375;232375;0;1;3;20;67;31;5;0;0;0;3;
330455705160096;1;0;118721;118721;0;0;4;18;33;13;7;1;1;0;11;
330455705160097;1;0;112378;112378;0;0;5;20;38;25;1;0;0;0;4;
330455705160098;1;0;234116;234116;0;1;8;36;78;41;8;0;1;0;8;
330455705160099;1;0;143569;143569;0;0;2;9;36;29;6;2;1;0;1;
330455705160100;1;0;240002;240002;0;1;12;25;63;46;13;5;1;0;4;
330455705160101;1;0;298883;298883;0;1;7;25;83;55;9;2;0;0;2;
330455705160102;1;0;191666;191666;0;1;5;15;34;37;12;8;1;0;0;
330455705160103;1;0;375858;375858;0;5;29;86;138;63;5;2;2;0;2;
330455705160104;1;0;139087;139087;0;1;7;32;54;20;1;0;0;0;26;
330455705160105;1;0;278008;278008;0;4;19;52;73;41;3;2;1;0;18;
330455705160106;1;0;196129;196129;0;0;6;39;57;31;3;0;0;0;9;
330455705160107;1;0;180524;180524;0;4;17;73;70;23;1;0;0;0;48;
330455705160108;1;0;224036;224036;0;3;24;52;85;36;6;1;0;0;21;
330455705160109;1;0;211783;211783;0;3;6;36;74;29;7;4;2;0;6;
330455705160110;1;0;244260;244260;0;0;31;131;92;11;0;0;0;0;44;
330455705160111;1;0;971837;971837;0;0;1;8;25;91;59;71;41;2;6;
330455705160112;1;0;1048198;1048198;0;0;2;6;42;96;56;59;42;3;0;
330455705160113;1;0;340418;340418;0;2;16;99;112;43;5;2;1;0;3;
330455705160114;1;0;125885;125885;0;2;21;43;38;12;0;0;0;0;25;
330455705160115;1;0;114365;114365;0;2;13;42;40;14;1;0;0;0;24;
330455705160116;1;1;487469;486959;510;0;3;14;42;66;28;23;9;1;33;
330455705160117;1;0;328662;328662;0;0;5;14;39;50;10;17;6;0;38;
330455705160118;1;0;519509;519509;0;0;1;10;37;59;28;25;12;0;14;
330455705160119;1;0;588430;588430;0;1;2;12;59;65;29;23;8;1;3;
330455705160120;1;0;348438;348438;0;0;1;9;36;54;21;9;7;1;1;
330455705160121;1;0;334060;334060;0;0;1;6;25;40;23;11;10;0;3;
330455705160122;1;0;306615;306615;0;0;1;8;27;36;18;13;6;1;3;
330455705160123;1;0;397072;397072;0;0;1;8;27;48;31;13;7;3;7;
330455705160124;1;0;260420;260420;0;0;2;15;47;45;15;9;5;0;2;
330455705160125;1;1;434882;433882;1000;0;6;34;66;75;14;18;7;0;7;
330455705160126;1;0;448780;448780;0;1;4;14;76;85;20;18;4;0;1;
330455705160127;1;1;567112;565712;1400;0;6;35;124;117;27;16;6;0;7;
330455705160129;1;0;334089;334089;0;0;0;7;18;40;12;20;8;1;1;
330455705160130;1;0;264562;264562;0;0;2;4;37;51;12;7;3;1;1;
330455705160131;1;0;370465;370465;0;0;1;11;36;52;20;18;4;2;6;
330455705160132;1;0;639531;639531;0;0;3;22;76;103;37;29;9;0;4;
330455705160133;1;0;487586;487586;0;0;2;14;38;58;24;20;6;2;7;
330455705160134;1;0;380314;380314;0;0;3;10;33;60;22;12;6;2;3;
330455705160135;1;0;606736;606736;0;0;2;8;34;95;28;22;12;2;13;
330455705160136;1;0;611297;611297;0;0;1;13;28;53;32;36;17;1;13;
